MoldBorrowID,CustomerID,MoldDesignID,AssetCode,AssetMoldType,AssetName,AssetQuantity,BorrowYear,BorrowMonth,CertificateDate,CreatedBy,DrawingNo,EntryDate,EquipmentNo,FeedPitch,JaeNo,MoldCompany,ModelNo,MoldJobNo,MoldLifespan,MoldPrice,MoldPicture,MoldPictureLink,MoldSheetTitle,Notes,ProductNo,ProductName,RespDept,VendorCode,VendorName,UpdatedAt,UpdatedBy
2,281,2021,,真空成型,,0,0,0,,9,,,,,,,,,,0,,,31×29製品用ﾄﾚｲ　330ｘ200サイズ 28個入トレイ,,,,,G0227100,（株）ヨシダパッケージ,,
4,125,3612,,真空成型,,0,0,0,,9,,,,,,,,,,0,,,PI1027トレイ,中村さん,,,,G0227100,（株）ヨシダパッケージ,,
6,177,856,,真空成型,,0,2024,7,,9,025-60090,,9913-02560,,141,,,,,0,JAE-321-2.jpg,,,貸出書取り交わし中,,,,G0227100,（株）ヨシダパッケージ,,
7,177,859,,真空成型,,0,2024,7,,9,025-60094,,2100000117,,142,,,,,0,JAE-323 R2-2.jpg,,,貸出書取り交わし中,,,,G0227100,（株）ヨシダパッケージ,,
8,177,860,,真空成型,,0,2024,8,,9,025-60114,,9913-02570,,143,,,,,0,JAE-324-2.jpg,,,9913-02550の新金型　貸出書取り交わし中,,,,G0227100,（株）ヨシダパッケージ,,
9,281,2021,,,,,0,0,11/1/2024,9,,,,,,,,,,,,C:\DATA\MoldAssetImage\SJK\SJK-005 20241101 QR.jpg,31×29製品用ﾄﾚｲ　330ｘ200サイズ 28個入トレイ,最撮影ラベル使用,,,,,,,
14,177,3657,,真空成型,,0,2018,6,,,025-52846-002,,9913-01420,,12,,,,,0,,,,9913-01420のPS品,,,,G0227100,（株）ヨシダパッケージ,,
15,177,3657,,,汎用升目ﾄﾚｰ(50升) 【PET】,,2018,6,11/5/2024,,025-52846-002,,9913-01420,,12,,,,,,,,,9913-01480のPET品,,,,,,,
16,177,616,,真空成型,,0,2020,4,,,025-54599,,9913-01880,,25,,,,,0,,,,9913-01880でﾎﾟｹｯﾄ試作,,,,G0227100,（株）ヨシダパッケージ,,
17,177,616,,,JN2-10P-INS(A609)-2収納ﾄﾚｲ,,2020,4,11/5/2024,,025-54599,,9913-01880,,25,,,,,,,,,9913-00060のポケット試作品,,,,,,,
18,,792,,真空成型,,0,2022,11,,,025-55957,,9913-02270,,1,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
19,,790,,真空成型,,0,2022,10,,,025-55960,,9913-02250,,2,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
20,,793,,真空成型,,0,2022,12,,,025-55969,,9913-02280,,3,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
21,,631,,真空成型,,0,2019,3,,,025-52512,,9913-01540,,4,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
22,,3618,,真空成型,,0,2019,3,,,025-52525,,9913-01550,,5,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
23,,3653,,真空成型,,0,2017,11,,,025-52636,,9913-01190,,6,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
24,,3654,,真空成型,,0,2018,1,,,025-52685,,9913-01300,,7,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
25,,3655,,真空成型,,0,2018,1,,,025-52690,,9913-01310,,8,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
26,,3656,,真空成型,,0,2017,11,,,025-52710,,9913-01180,,9,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
27,,686,,真空成型,,0,2017,11,,,025-52772,,9913-01200,,10,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
29,,3659,,真空成型,,0,2018,1,,,025-53306,,9913-01290,,13,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
30,,684,,真空成型,,0,2018,1,,,025-53415,,9913-01280,,14,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
31,,3664,,真空成型,,0,2018,1,,,025-53581,,9913-01260,,15,,,,,0,,,,"140R1:PET, 140R2:PS",,,,G0227100,（株）ヨシダパッケージ,,
32,,634,,真空成型,,0,2019,4,,,025-53798,,9913-01630,,16,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
33,,629,,真空成型,,0,2019,3,,,025-54310,,9913-01560,,17,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
34,,630,,真空成型,,0,2019,3,,,025-54328,,9913-01570,,18,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
35,,3660,,真空成型,,0,2018,1,,,025-54377,,9913-01270,,19,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
36,,3661,,真空成型,,0,2018,1,,,025-54419,,9913-01250,,20,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
37,,611,,真空成型,,0,2013,4,,,025-54422,,9913-00010,,21,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
38,,612,,真空成型,,0,2013,5,,,025-54524,,9913-00020,,22,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
39,,613,,真空成型,,0,2013,6,,,025-54543,,9913-00030,,23,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
41,,687,,真空成型,,0,2017,11,,,025-54625,,9913-01210,,26,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
42,,3619,,真空成型,,0,2014,10,,,025-54682,,9913-00210,,27,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
43,,620,,真空成型,,0,2014,5,,,025-54684,,9913-00100,,28,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
44,,619,,真空成型,,0,2014,4,,,025-54685,,9913-00090,,29,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
45,,623,,真空成型,,0,2014,7,,,025-54723,,9913-00160,,30,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
46,,624,,真空成型,,0,2014,7,,,025-54724,,9913-00170,,31,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
47,,625,,真空成型,,0,2014,10,,,025-54781,,9913-00240,,32,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
48,,626,,真空成型,,0,2014,12,,,025-54803,,9913-00270,,33,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
49,,628,,真空成型,,0,2014,12,,,025-54804,,9913-00280,,34,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
50,,637,,真空成型,,0,2015,5,,,025-54843,,9913-00340,,35,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
51,,638,,真空成型,,0,2015,5,,,025-54853,,9913-00350,,36,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
52,,639,,真空成型,,0,2015,5,,,025-54857,,9913-00360,,37,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
53,,640,,真空成型,,0,2015,5,,,025-54859,,9913-00370,,38,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
54,,641,,真空成型,,0,2015,6,,,025-54876,,9913-00390,,39,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
55,,644,,真空成型,,0,2015,7,,,025-54890,,9913-00430,,40,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
56,,645,,真空成型,,0,2015,7,,,025-54891,,9913-00440,,41,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
57,,648,,真空成型,,0,2015,11,,,025-54903,,9913-00680,,42,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
58,,3614,,真空成型,,0,2015,11,,,025-54904,,9913-00690,,43,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
59,,649,,真空成型,,0,2015,11,,,025-54905,,9913-00700,,44,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
60,177,3665,,真空成型,,0,2015,11,,,025-54910,,9913-00660,,45,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
61,,3666,,真空成型,,0,2015,11,,,025-54911,,9913-00670,,46,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
62,,3668,,,MX60A044SF用ﾄﾚｲ,,2015,9,,,025-54922,,9913-00540,,47,,,,,,,,,,,,,,,,
63,,658,,真空成型,,0,2016,2,,,025-54926,,9913-00790,,48,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
64,,661,,真空成型,,0,2016,3,,,025-54927,,9913-00810,,49,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
65,,659,,真空成型,,0,2016,1,,,025-54928,,9913-00750,,50,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
66,177,655,,真空成型,,0,2015,11,,,025-54936,,9913-00630,,51,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
67,,656,,真空成型,,0,2015,11,,,025-54937,,9913-00640,,52,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
68,,657,,真空成型,,0,2015,11,,,025-54938,,9913-00650,,53,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
69,177,3669,,真空成型,,0,2016,1,,,025-54943,,9913-00760,,54,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
70,,663,,真空成型,,0,2016,6,,,025-55034,,9913-00920,,55,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
71,,668,,真空成型,,0,2017,3,,,025-55086,,9913-00990,,56,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
72,177,667,,真空成型,,0,2017,3,,,025-55087,,9913-00980,,57,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
73,,3670,,,汎用升目ﾄﾚｲ 30升,,2017,2,,,025-55131,,9913-00970,,58,,,,,,,,,,,,,,,,
74,,669,,真空成型,,0,2017,2,,,025-55133,,9913-00960,,59,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
75,177,3671,,真空成型,,0,2014,4,,,025-55162,,9913-01050,,60,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
76,,677,,真空成型,,0,2017,5,,,025-55172,,9913-01100,,61,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
77,,679,,真空成型,,0,2017,5,,,025-55178,,9913-01090,,62,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
78,,678,,真空成型,,0,2017,5,,,025-55179,,9913-01080,,63,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
79,,690,,真空成型,,0,2017,11,,,025-55221,,9913-01220,,64,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
80,,3672,,,MX55M-4PR-GSﾄﾚｲ,,2018,2,,,025-55233,,9913-01340,,65,,,,,,,,,,,,,,,,
81,,707,,真空成型,,0,2018,6,,,025-55323,,9913-01410,,66,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
82,177,3673,,真空成型,,0,2018,10,,,025-55351,,9913-01470,,67,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
83,,712,,真空成型,,0,2018,10,,,025-55357,,9913-01000,,68,,,,,0,,,,9913-01810で再作製→図番を変えて両方有(025-55650),,,,G0227100,（株）ヨシダパッケージ,,
84,,747,,真空成型,,0,2020,5,,,025-55382,,9913-01890,,69,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
85,,748,,真空成型,,0,2020,5,,,025-55383,,9913-01900,,70,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
86,,718,,真空成型,,0,2019,3,,,025-55432,,9913-01580,,71,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
87,,719,,真空成型,,0,2019,3,,,025-55433,,9913-01590,,72,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
88,,723,,真空成型,,0,2019,4,,,025-55445,,9913-01640,,73,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
89,,724,,真空成型,,0,2019,4,,,025-55446,,9913-01650,,74,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
90,,725,,真空成型,,0,2019,4,,,025-55447,,9913-01660,,75,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
91,,728,,真空成型,,0,2019,5,,,025-55477,,9913-01690,,76,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
92,,733,,真空成型,,0,2019,8,,,025-55486,,,,77,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
93,,734,,真空成型,,0,2019,7,,,025-55487,,9913-01740,,78,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
94,,735,,真空成型,,0,2019,8,,,025-55488,,,,79,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
95,,730,,真空成型,,0,2019,7,,,025-55502,,9913-01720,,80,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
96,,731,,真空成型,,0,2019,6,,,025-55503,,9913-01710,,81,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
97,,3675,,,SLIDE TRAY,,2019,7,,,025-55528,,9913-01760,,82,,,,,,,,,,,,,,,,
98,,738,,真空成型,,0,2019,9,,,025-55531,,9913-01790,,83,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
99,,739,,真空成型,,0,2019,9,,,025-55532,,9913-01800,,84,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
100,,740,,真空成型,,0,2019,9,,,025-55533,,2100000037,,85,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
101,,745,,真空成型,,0,2020,2,,,025-55536,,9913-01850,,86,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
102,,741,,真空成型,,0,2019,10,,,025-55557,,9913-01820,,87,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
104,,750,,真空成型,,0,2020,10,,,025-55599-001,,9913-02020,,89,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
105,,752,,真空成型,,0,2020,10,,,025-55599-002,,9913-02030,,90,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
106,,753,,真空成型,,0,2020,10,,,025-55600-001,,9913-02040,,91,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
107,,754,,真空成型,,0,2020,10,,,025-55600-002,,9913-02050,,92,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
108,,746,,真空成型,,0,2020,3,,,025-55601,,9913-01860,,93,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
109,,3676,,,SF70-TR3 TRAY専用TRAY,,2020,3,,,025-55612,,9913-01870,,94,,,,,,,,,,,,,,,,
110,,751,,真空成型,,0,2020,10,,,025-55632,,9913-02010,,95,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
111,,737,,真空成型,,0,2020,5,,,025-55650,,9913-01810,,96,,,,,0,,,,9913-01000は旧金型→図番を変えて両方有,,,,G0227100,（株）ヨシダパッケージ,,
112,,749,,真空成型,,0,2020,7,,,025-55684,,9913-02000,,97,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
113,,758,,真空成型,,0,2021,1,,,025-55744,,9913-02080,,98,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
114,,3677,,,ST20-PT1 PACKING TRAY,,2021,7,,,025-55794,,9913-02120,,99,,,,,,,,,,,,,,,,
115,,764,,真空成型,,0,2021,7,,,025-55800,,9913-02130,,100,,,,,0,,,,,,,,G0227100,（株）ヨシダパッケージ,,
